repoName,repoLink,repoDescription,repoAuthor,repoAuthorLink,isInactive,isArchived,stars
"Rationale","https://github.com/KingsMentor/Rationale","Android permission rationale helper dialog.","@Kingsmentor","https://twitter.com/kingsmentor",true,"",47
"Google Dictionary","https://github.com/chizoba/google-dictionary","An android library that provides easy access to meanings of any word, phrase, or slang via Google, within any application.","@its_tobie","https://twitter.com/its_tobie","","",46
"Naija Phone Number","https://github.com/Udokah/naija-phone-number","A fast minimal module to validate Nigerian mobile phone numbers using Regular Expressions.","@thisisudo","https://twitter.com/thisisudo",true,"",46
"react-native-woocommerce-api","https://github.com/JamesUgbanu/react-native-woocommerce-api","A wrappper that connects react Native to the WooCommerce API.","james ugbanu","https://linkedin.com/in/james-ugbanu","","",45
"Money-To-Words-Converter","https://github.com/TNkemdilim/Money-To-Words-Converter","","@TNkemdilim","https://twitter.com/tnkemdilim","","",43
"testkit","https://github.com/apitoolkit/testkit","A DSL for testing. Starting with APIs.","@tonialaribe","https://twitter.com/tonialaribe","","",43
"Vue Transitions CSS","https://github.com/Edmund1645/vue-transitions-css","A lightweight CSS library for adding transitions to Vue components.","@26th_edmund","https://twitter.com/26th_edmund","","",43
"APX","https://github.com/othreecodes/APX","A Javafx Library for building MVC Applications.","@othreecodes","https://twitter.com/othreecodes",true,"",42
"chocotea","https://github.com/cleopatra27/chocotea","A library that generates postman collection an integration tests from java code.","@succedor23","https://twitter.com/succedor23","","",42
"Laravel Telephone Input","https://github.com/victorybiz/laravel-tel-input","Laravel Telephone Input component for Blade and Livewire based on the intl-tel-input JavaScript plugin.","@victoryosayi","https://twitter.com/victoryosayi","","",42
"Cogent PHP","https://github.com/wilforlan/CogentPHP","A Simple PHP MVC Framework for Fast and Minimal Applications.","@wilforlan","https://twitter.com/wilforlan","","",41
"helpers","https://github.com/whizkydee/helpers","Super-handy JavaScript utility functions for front-end development.","@mrolaolu","https://twitter.com/mrolaolu","","",40
"inspireNuggets","https://github.com/BolajiAyodeji/inspireNuggets","inspireNuggets is a Chrome Browser (Web) Extension that displays random inspiring techie quotes for developers/designers.","@iambolajiayo","https://twitter.com/iambolajiayo","","",40
"Laravel-Spam-Email","https://github.com/hendurhance/laravel-spam-email","This package is a Laravel package that checks if an email address is a spammer. It verifies your signups and forms submissions to confirm that they are legitimate.","@hendurhance","https://twitter.com/hendurhance","","",40
"LocalGoogle","https://github.com/kodejuice/localgoogle","A search engine built for offline websites on your local machine.","@KodeJuice","https://twitter.com/kodejuice","","",40
"PageCarton","https://github.com/pagecarton/pagecarton","PageCarton - a fully functional software suite and framework + CMS tool for anyone to build a secure web site and app easily.","@AyoolaFalola","https://twitter.com/AyoolaFalola","","",40
"P-integrate","https://github.com/TaslimOseni/p-integrate","This is a demo app that guides Android developers on how to integrate any of several popular payment platforms into their apps.","@taslimOseni","https://twitter.com/taslimOseni",true,"",39
"Slackword","https://github.com/larikraun/slackword","Dictionary in your slack….additionally, you can get random words.","@_larikraun","https://twitter.com/_larikraun",true,"",39
"Adonis Stripe","https://github.com/mezielabs/adonis-stripe","This package makes it seamless to work with Stripe in AdonisJS 5 applications.","@ammezie","https://twitter.com/ammezie","","",38
"csv49","https://github.com/stigwue/csv49","Comma Separated Values For Nigeria.","@stigwue","https://github.com/stigwue","","",38
"Laravel-SMS","https://github.com/djunehor/laravel-sms","Laravel SMS allows you to send SMS from your Laravel application using one of over 10 SMS providers, or your custom SMS provider.","@djunehor","https://twitter.com/djunehor","","",37
"PyDialogflow Fulfillment","https://github.com/Emmarex/dialogflow-fulfillment-python","This library makes creating fulfillment for Dialogflow v2 agents easily with Python Backend. (","@emmarex","https://twitter.com/_emmarex_","","",37
"River","https://github.com/abiosoft/river","Lightweight REST framework for Go.","@abiosoft","https://twitter.com/abiosoft",true,"",37
"expo-push-notification-helper","https://github.com/just1and0/expo-push-notification-helper","This library makes it easy to use push notification in react native using expo.","@just1and0","https://twitter.com/just1and0","","",36
"Signalum Desktop","https://github.com/bisohns/signalum-desktop","A Desktop application for the signalum python library.","@_deven96","https://twitter.com/_deven96",true,"",36
"Adonis Queue","https://github.com/stitchng/adonis-queue","An addon/plugin package to provide driver-based job queueing services in AdonisJS 4.0+.","@isocroft","https://twitter.com/isocroft","","",34
"Stickynotes","https://github.com/Kolaposki/Stickynotes","A functional note taking web application with alluring user interface.","@Kolaposki","https://twitter.com/KolapoOshodi","","",34
"folabelle","https://github.com/BolajiOlajide/folabelle","A VSCode theme - Cross breed of Monokai + Palenight","@Bolaji___","https://twitter.com/Bolaji___",true,"",33
"Jusibe PHP Library","https://github.com/unicodeveloper/jusibe-php-lib","A library for .","@unicodeveloper","https://twitter.com/unicodeveloper","","",33
"Suphle","https://github.com/nmeri17/suphle","A PHP framework for building logic heavy full stack applications to be actively maintained over time. **by","","","","",33
"type-reverse","https://github.com/whizkydee/type-reverse","🦄 Lightweight reverse utility around strings, arrays, numbers and more.","@mrolaolu","https://twitter.com/mrolaolu","","",33
"Jollof","https://github.com/isocroft/Jollof","A lightweight PHP framework for developers who love smart work.","@isocroft","https://twitter.com/isocroft","","",32
"Paystack Ruby","https://github.com/IkoroVictor/paystack-ruby","Ruby Gem for Paystack.","@IkoroVictor","https://twitter.com/IkoroVictor","","",32
"Faker.ng","https://github.com/binkabir/faker.ng","a library for generating Nigerian fake data such as names, addresses, and phone numbers.","@binkabir","https://github.com/binkabir",true,"",31
"Laravel-Slack","https://github.com/goodnesskay/laravel-slack","A Laravel Package that makes Automatic Invitation to Slack Channels or team seamless.","@goodnesskay","https://twitter.com/goodnesskayode",true,"",31
"SlidingUpMenu","https://github.com/r4sh33d/SlidingUpMenu","🚀A very customizable Android library that allows you to present menu items (from menu resource and/or other sources) to users as a bottom sheet.","@srasheed","https://twitter.com/srasheed_","","",31
"Goignore","https://github.com/hacktivist123/goignore","A lightweight CLI tool for generating .gitignore file in your project.","@coder_blvck","https://twitter.com/coder_blvck","","",29
"KhaledBot","https://github.com/ireade/khaledbot","Delivering Major Keys to your Slack Team.","@ireaderinokun","https://twitter.com/ireaderinokun",true,"",29
"Omnipay 2Checkout","https://github.com/collizo4sky/omnipay-2checkout","2Checkout driver for the Omnipay PHP payment processing library.","@w3guy","https://twitter.com/w3guy",true,"",29
"TwittaSave","https://github.com/emmanuelkehinde/TwittaSave-Web","Web, Android and Chrome Extension that enables you to download videos and gifs from tweets to your device easily; built using Twitter API.","@emmakoko96","https://twitter.com/emmakoko96","","",29
"Adonis Hexa","https://github.com/creatrixity/adonis-hexa","An opinionated software development framework for maintaining a scalable Adonis application.","@creatrixity","https://twitter.com/creatrixity",true,"",27
"AnimatedCountTextView","https://github.com/r4sh33d/AnimatedCountTextView","A library that helps you animate change in numeric values in an Android TextView.","@srasheed","https://twitter.com/srasheed_",true,"",27
"Lib-ussd","https://github.com/hextremelabs/lib-ussd","A lightweight USSD application framework.","@hextremelabs","https://twitter.com/hextremelabs","","",27
"Random48LawsOfPower","https://github.com/acekyd/Random48LawsOfPower","Chrome extension that shows a random law from the popular '48 Laws of Power' Book.","@acekyd","https://twitter.com/Ace_KYD",true,"",26
"Simple-DB","https://github.com/shalvah/simple-db","Get your Android app's SQLite database set up in five minutes!","@theshalvah","https://twitter.com/theshalvah",true,"",26
"Broad-state","https://github.com/adenekan41/broadstate","Easy state manager for state values from one component to the other with useState and React Hooks in < 1KB!","@codewonders","https://twitter.com/code_wonders",true,"",25
"Busser","https://github.com/codesplinta/busser","A robust, opinionated, state management option for scalable and precise communication across ReactJS Components.","@isocroft","https://twitter.com/isocroft","","",25
"Nigerian states api","https://github.com/seyi-adeleke/Nigerian-states-api","An api for basic information about all 36 states in Nigeria.","@seyi__adeleke","https://twitter.com/seyi__adeleke","","",25
